Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
21133,1.02,Premium,F,SI2,62.5,58.0,6.47,6.4,4.02,3754
21571,0.8,Very Good,D,VS2,63.1,57.0,5.94,5.89,3.73,3135
18719,1.11,Ideal,I,SI1,62.3,56.0,6.59,6.64,4.12,4645
25957,0.33,Ideal,D,VS2,,57.0,4.47,4.42,2.75,1002
1825,0.43,Ideal,G,SI2,61.3,56.0,4.89,4.87,2.99,935
20720,1.1,Very Good,I,SI1,63.5,57.0,6.55,6.53,4.15,3573
25756,0.72,Good,E,SI1,63.7,58.0,5.71,5.66,3.62,2361
24217,1.21,Ideal,I,SI2,60.6,56.0,6.92,6.94,4.2,5091
14912,1.01,Fair,H,SI1,65.3,57.0,6.33,6.23,4.1,4256
15571,0.93,Ideal,E,SI1,62.8,56.0,6.24,6.19,3.9,4229
23549,1.57,Ideal,E,VS2,62.3,57.0,7.39,7.44,4.62,16570
18038,1.52,Premium,F,VS1,61.0,58.0,7.42,7.39,4.52,15522
11032,0.33,Premium,H,VS1,59.2,58.0,4.5,4.55,2.68,579
7330,0.42,Ideal,H,IF,61.9,56.0,4.81,4.79,2.97,1273
18910,0.5,Ideal,E,VS2,62.1,54.0,5.13,5.11,3.18,1746
12399,0.57,Ideal,F,VS2,61.6,55.0,5.35,5.37,3.3,1737
7423,1.0,Premium,F,SI1,62.6,60.0,6.32,6.3,3.95,5292
10710,1.01,Very Good,H,SI1,63.5,62.0,6.36,6.24,4.0,4513
17175,0.53,Ideal,E,VS1,61.5,55.0,5.22,5.24,3.22,1917
407,0.25,Good,D,VS1,57.6,60.0,4.15,4.18,2.4,399
5800,0.59,Very Good,E,SI1,62.9,57.0,5.33,5.36,3.36,1664
13859,0.31,Good,H,VS1,63.6,55.0,4.29,4.32,2.74,544
5808,0.34,Ideal,E,SI1,62.0,57.0,4.46,4.48,2.77,596
7108,0.54,Ideal,F,VVS2,61.0,54.0,5.28,5.3,3.23,2231
6501,0.33,Premium,G,VS1,60.8,59.0,4.45,4.43,2.7,854
12262,0.9,Very Good,G,SI2,62.6,60.0,6.1,6.16,3.84,3593
16226,0.7,Fair,E,SI2,58.7,68.0,5.77,5.72,3.37,1723
15221,0.32,Ideal,F,VVS1,61.7,56.0,4.37,4.42,2.71,809
25221,2.03,Very Good,I,SI2,62.8,60.0,7.99,8.05,5.04,13063
7979,0.33,Premium,I,SI1,61.4,58.0,4.5,4.46,2.75,572
7537,0.32,Ideal,G,VVS1,61.1,55.0,4.46,4.48,2.73,796
9970,1.5,Very Good,F,SI1,63.4,58.0,7.2,7.16,4.55,10962
12113,2.51,Very Good,I,SI2,62.3,57.0,8.69,8.76,5.44,18090
9577,0.31,Good,H,VS2,63.5,57.0,4.32,4.34,2.75,489
23939,0.34,Very Good,I,SI1,62.8,57.0,4.43,4.45,2.79,459
13077,1.01,Premium,F,SI1,60.3,58.0,6.53,6.61,3.96,4829
20572,0.46,Very Good,F,VVS1,62.3,56.0,4.94,4.98,3.09,1838
4801,0.34,Premium,I,VS1,61.0,60.0,4.48,4.51,2.74,537
9378,0.35,Very Good,H,SI1,60.0,61.0,4.57,4.6,2.75,491
15135,0.35,Ideal,F,VS2,62.3,55.0,4.53,4.56,2.83,706
5053,1.7,Ideal,F,VS2,62.3,56.0,7.65,7.61,4.75,18055
25107,0.31,Ideal,D,VS2,61.8,55.0,4.37,4.33,2.69,942
7989,1.64,Very Good,F,SI2,63.2,57.0,7.56,7.47,4.75,8357
292,0.35,Ideal,I,VS1,60.9,57.0,4.59,4.54,2.78,709
23889,1.26,Premium,J,VS2,62.0,60.0,7.0,6.86,4.3,5173
13047,0.7,Very Good,D,VS2,62.5,55.0,5.65,5.71,3.55,3052
13623,0.72,Very Good,I,VS1,60.7,56.0,5.78,5.82,3.52,2401
24488,0.3,Premium,E,VS2,62.1,59.0,4.29,4.27,2.66,844
6259,1.53,Very Good,G,SI2,62.1,61.0,7.28,7.3,4.53,8455
7305,1.01,Good,G,VS1,63.2,58.0,6.34,6.38,4.02,6499
4073,2.5,Fair,H,SI2,64.9,58.0,8.46,8.43,5.48,13278
13173,0.3,Ideal,H,VVS1,62.5,53.8,4.31,4.33,2.69,639
19686,0.86,Very Good,E,VS2,62.3,56.0,6.05,6.08,3.78,4665
2906,0.34,Premium,E,SI1,61.8,58.0,4.5,4.47,2.77,765
4654,0.56,Ideal,E,SI1,60.9,56.0,5.35,5.32,3.25,1698
17092,0.23,Premium,G,VVS2,58.1,59.0,4.09,4.03,2.36,550
13646,1.29,Very Good,I,VS1,,58.0,6.98,7.03,4.28,5562
9661,0.7,Fair,E,SI2,65.0,54.0,5.56,5.52,3.6,2600
4003,0.55,Premium,D,SI1,61.0,58.0,5.29,5.27,3.22,1819
24299,0.33,Very Good,I,VVS1,58.9,61.0,4.52,4.55,2.67,609
7346,2.0,Ideal,I,VS1,62.0,57.0,8.04,7.99,4.97,17889
14330,0.77,Very Good,I,VS2,62.4,63.0,5.8,5.84,3.63,2054
11832,0.7,Very Good,F,SI1,60.6,58.0,5.73,5.78,3.49,2231
12269,0.4,Premium,H,VS1,62.6,58.0,4.71,4.68,2.94,1035
26317,0.77,Ideal,I,VVS2,62.1,57.0,5.84,5.86,3.63,2824
25310,0.74,Ideal,H,SI1,62.1,56.0,5.77,5.83,3.6,2870
5318,0.31,Ideal,D,VS1,62.1,57.0,4.32,4.35,2.69,683
7110,1.2,Very Good,J,VS1,62.9,60.0,6.64,6.69,4.19,5226
10304,2.07,Very Good,I,VS2,60.6,58.0,8.24,8.29,5.01,16378
13547,0.35,Ideal,E,SI2,61.4,56.0,4.51,4.55,2.78,491
13702,0.34,Ideal,H,VS2,61.2,55.0,4.49,4.53,2.76,517
17240,1.53,Ideal,H,SI1,61.1,57.0,7.45,7.44,4.55,10659
11355,1.01,Good,G,SI1,58.4,61.0,6.51,6.61,3.83,5051
24420,0.42,Ideal,I,SI1,,55.0,4.81,4.83,2.98,833
26270,0.43,Ideal,G,VS1,62.3,56.0,4.85,4.82,3.01,1008
14155,0.52,Ideal,E,VS2,60.9,57.0,5.21,5.23,3.18,1689
7170,0.5,Premium,G,VVS2,59.6,60.0,5.18,5.15,3.08,1935
11747,0.9,Premium,E,VS2,59.5,58.0,6.33,6.28,3.75,5312
9959,2.01,Premium,J,SI1,60.5,59.0,8.12,8.01,4.88,12369
11734,0.3,Ideal,E,VVS2,61.9,59.0,4.27,4.3,2.65,766
7555,0.65,Very Good,G,VVS2,61.3,59.0,5.51,5.61,3.41,2178
9464,0.32,Ideal,G,VS2,61.8,57.0,4.38,4.42,2.72,561
19452,0.41,Very Good,E,SI1,62.9,57.0,4.72,4.76,2.98,755
21634,0.72,Premium,E,VS2,60.4,61.0,5.79,5.76,3.49,3024
10122,0.43,Ideal,E,VVS2,60.8,57.0,4.9,4.87,2.97,1135
7145,0.33,Premium,D,SI2,61.6,59.0,4.41,4.42,2.72,492
9076,0.56,Ideal,F,VS2,60.8,57.0,5.35,5.42,3.28,1619
3044,0.38,Premium,G,VS2,60.4,57.0,4.7,4.67,2.83,983
6476,0.71,Ideal,F,VS2,61.5,55.0,5.74,5.77,3.54,3516
4072,0.54,Ideal,G,SI1,61.7,55.0,5.24,5.27,3.24,1187
14473,0.42,Good,G,SI1,63.2,57.0,4.77,4.79,3.02,737
14755,0.3,Ideal,E,VVS2,61.9,58.0,4.28,4.32,2.66,766
26271,0.66,Premium,E,SI1,61.1,56.0,5.68,5.62,3.45,1708
19729,1.58,Premium,D,SI1,62.7,60.0,7.41,7.37,4.63,13995
6754,1.11,Premium,G,SI1,62.4,58.0,6.65,6.61,4.14,5750
10197,0.54,Premium,E,VS2,60.0,58.0,5.34,5.29,3.19,1709
20456,0.4,Premium,F,VVS2,60.7,58.0,4.7,4.75,2.87,1088
7255,0.59,Ideal,E,VS2,61.4,56.0,5.33,5.42,3.3,1755
20925,0.5,Premium,F,SI1,59.1,58.0,5.23,5.19,3.08,1286
20971,0.92,Good,D,SI1,63.6,57.0,6.09,6.14,3.89,4158
346,1.15,Ideal,H,I1,62.0,55.0,6.76,6.69,4.17,3606
21360,2.54,Ideal,G,SI2,62.7,56.0,8.75,8.67,5.46,17339
4507,1.01,Very Good,E,VVS2,63.3,58.0,6.39,6.31,4.02,8912
17775,0.82,Ideal,G,VVS2,62.1,56.0,5.97,6.01,3.72,4130
20813,0.51,Premium,F,VS2,61.4,58.0,5.13,5.09,3.14,1619
20599,0.8,Ideal,E,SI2,61.0,55.0,6.0,6.03,3.67,2978
17205,1.51,Good,I,SI1,63.9,59.0,7.18,7.26,4.61,9069
25742,0.7,Premium,F,SI1,61.6,60.0,5.68,5.72,3.51,2470
22403,0.76,Premium,E,VS2,63.0,59.0,5.79,5.76,3.64,3107
13382,1.1,Premium,G,VS1,58.4,60.0,6.85,6.81,3.99,7399
15563,0.36,Ideal,I,VS1,62.0,54.0,4.58,4.61,2.85,587
23037,0.34,Ideal,D,SI1,61.5,53.0,4.51,4.53,2.78,626
17389,0.7,Ideal,E,SI1,60.1,57.0,5.78,5.83,3.49,2929
6552,0.71,Ideal,F,VS1,61.3,56.0,5.69,5.75,3.51,3710
15343,1.7,Very Good,H,SI2,63.8,55.0,7.47,7.55,4.79,9745
10285,0.3,Premium,G,VVS1,61.7,58.0,4.26,4.3,2.64,789
8158,1.53,Very Good,E,VS1,60.7,60.0,7.38,7.52,4.52,14931
17483,0.71,Premium,E,SI1,60.3,58.0,5.78,5.76,3.48,2479
2541,1.03,Very Good,F,SI2,62.0,58.0,6.43,6.51,4.01,4414
7709,0.55,Premium,E,SI2,61.9,58.0,5.24,5.2,3.23,1273
19328,1.64,Premium,J,SI2,63.0,58.0,7.54,7.49,4.74,5624
1048,0.32,Ideal,G,VS1,62.3,54.0,4.39,4.37,2.73,828
21877,1.46,Premium,I,SI2,62.4,59.0,7.21,7.16,4.49,5519
25847,0.33,Ideal,E,VS1,60.0,57.0,4.5,4.47,2.69,802
11242,0.32,Premium,H,IF,61.2,58.0,4.37,4.39,2.68,842
7012,0.53,Premium,D,VS2,60.4,58.0,5.23,5.26,3.17,1857
19604,0.26,Ideal,E,VVS1,,57.0,4.07,4.1,2.52,599
12005,0.3,Very Good,H,VVS1,61.3,61.0,4.26,4.29,2.62,684
8498,1.01,Good,H,SI1,63.4,59.0,6.28,6.34,4.0,4749
25479,0.32,Ideal,J,IF,62.2,56.0,4.41,4.37,2.73,684
14594,1.04,Ideal,F,SI1,62.1,56.0,6.54,6.47,4.04,4426
19229,0.23,Very Good,E,VVS2,61.6,61.0,3.92,3.97,2.43,505
3380,0.34,Ideal,H,IF,61.9,55.0,4.5,4.55,2.8,913
17377,1.33,Very Good,H,SI2,60.8,59.0,7.07,7.11,4.31,6071
25953,1.22,Premium,I,SI1,62.7,58.0,6.83,6.8,4.27,5602
935,0.38,Ideal,D,VVS2,60.7,55.0,4.69,4.71,2.85,1289
25204,0.5,Good,D,SI2,61.9,63.0,5.05,5.07,3.13,1175
16892,0.38,Premium,D,VS1,61.9,60.0,4.62,4.66,2.87,1067
17739,1.09,Ideal,G,VS1,62.1,55.1,6.57,6.63,4.1,7487
21447,0.48,Premium,E,VS2,62.5,61.0,5.01,4.97,3.12,1323
1486,1.52,Good,E,VS1,64.0,55.0,7.27,7.19,4.63,15792
13577,1.2,Premium,F,SI1,60.2,58.0,6.9,6.86,4.14,6604
14586,1.2,Ideal,I,VS1,62.8,55.0,6.79,6.75,4.25,6774
12218,0.59,Ideal,G,VS2,62.6,54.0,5.32,5.38,3.35,1664
11810,0.5,Ideal,E,VS2,,55.0,5.12,5.14,3.15,1614
15917,0.41,Premium,F,VVS2,62.4,58.0,4.76,4.7,2.95,1192
6402,0.33,Ideal,F,VS1,61.2,57.0,4.46,4.49,2.74,738
14040,0.23,Very Good,E,VVS1,60.9,58.0,3.95,3.96,2.41,530
6126,0.91,Premium,D,VS2,62.0,58.0,6.15,6.2,3.83,5259
23671,0.3,Premium,D,VS1,61.9,58.0,4.28,4.32,2.66,712
11785,0.3,Ideal,E,VVS1,61.8,56.0,4.3,4.31,2.66,895
13413,0.31,Ideal,F,VVS1,62.4,55.0,4.33,4.36,2.71,828
9735,0.91,Fair,F,SI2,64.9,56.0,6.08,6.05,3.94,3210
5193,2.01,Ideal,E,SI2,62.2,57.0,8.04,8.09,5.02,17688
15382,1.71,Good,F,SI2,63.7,54.0,7.6,7.49,4.81,6971
25625,0.41,Good,D,SI1,63.3,55.0,4.74,4.77,3.01,738
19345,0.95,Good,I,SI2,63.8,57.0,6.23,6.13,3.94,2905
4822,0.3,Very Good,H,SI1,59.4,63.0,4.35,4.4,2.6,421
11360,0.51,Ideal,F,VS2,62.0,56.0,5.11,5.14,3.18,1595
6024,1.57,Premium,I,VS2,62.5,58.0,7.5,7.42,4.66,9847
6370,0.9,Good,F,SI2,64.2,62.0,6.08,6.0,3.88,2964
11625,1.03,Ideal,F,VVS1,62.1,56.3,6.43,6.5,4.02,10619
1606,1.51,Good,E,SI1,62.8,59.0,7.16,7.2,4.51,11487
1054,2.02,Ideal,H,SI2,62.4,56.0,8.14,8.04,5.06,12680
22025,1.51,Fair,I,VS2,64.6,58.0,7.19,7.15,4.63,8287
17038,0.34,Ideal,D,VS2,61.6,55.0,4.54,4.48,2.78,881
11599,0.5,Premium,G,VVS2,59.6,60.0,5.15,5.18,3.08,1838
19217,0.51,Ideal,E,VS2,61.9,57.0,5.12,5.09,3.16,1662
26327,1.04,Premium,E,SI2,60.1,60.0,6.53,6.51,3.92,4436
3838,2.06,Ideal,I,SI2,62.4,55.0,8.1,8.14,5.07,14120
11382,0.51,Premium,G,SI1,62.4,58.0,5.13,5.07,3.18,1312
24939,0.27,Ideal,E,VVS1,62.0,56.0,4.19,4.16,2.59,752
8444,0.7,Very Good,G,VS1,62.8,57.0,5.63,5.68,3.55,2475
9002,1.02,Very Good,D,SI1,63.2,58.0,6.41,6.35,4.03,5198
18465,0.56,Ideal,H,VS2,61.2,57.0,5.29,5.33,3.25,1388
5665,1.23,Premium,J,VS2,61.9,55.0,6.94,6.88,4.28,5504
21901,1.52,Ideal,I,SI1,61.2,55.4,7.38,7.45,4.54,9067
19048,0.32,Premium,E,VVS2,59.9,58.0,4.5,4.45,2.68,1080
13556,0.27,Very Good,F,VVS1,61.8,55.0,4.13,4.16,2.56,604
14881,0.3,Ideal,D,VS2,62.0,56.0,4.35,4.33,2.69,911
19225,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1757
22467,0.32,Ideal,E,VS2,61.4,56.0,4.4,4.43,2.71,702
13143,0.7,Premium,D,IF,60.0,59.0,5.75,5.81,3.47,5027
10630,1.01,Good,G,VVS2,62.4,59.0,6.32,6.37,3.96,7332
7072,0.35,Ideal,D,VS2,61.8,55.0,4.56,4.53,2.81,1063
8027,1.2,Ideal,J,SI1,63.0,57.0,6.74,6.64,4.24,4234
1639,1.31,Premium,I,SI1,63.0,57.0,6.96,6.91,4.37,5869
3008,0.3,Ideal,E,IF,62.2,55.0,4.32,4.36,2.7,957
3495,1.0,Good,H,SI2,63.9,55.0,6.25,6.33,4.02,3878
19698,0.4,Good,H,VS2,59.4,64.0,4.82,4.75,2.84,945
24707,1.51,Very Good,G,VS1,60.2,63.0,7.36,7.39,4.44,12317
16406,0.31,Ideal,E,VS2,62.0,56.0,4.37,4.34,2.7,872
19899,1.51,Ideal,G,VS2,62.1,55.0,7.38,7.33,4.56,14482
4254,0.41,Premium,G,VS1,60.7,58.0,4.83,4.79,2.92,961
15114,1.01,Good,F,SI1,63.5,59.0,6.3,6.39,4.03,4759
19567,0.5,Ideal,E,VVS2,61.8,53.6,5.1,5.13,3.16,2297
19210,1.6,Very Good,E,SI2,62.0,57.0,7.47,7.54,4.65,9900
7713,0.96,Very Good,F,SI1,62.1,62.0,6.24,6.32,3.9,4755
3291,0.4,Good,G,VVS2,61.4,64.0,4.65,4.7,2.87,974
21159,0.9,Premium,G,SI1,61.9,59.0,6.18,6.13,3.81,3669
21780,0.52,Premium,G,SI2,61.4,56.0,5.27,5.18,3.2,1235
12100,1.02,Good,I,SI2,57.1,62.0,6.66,6.58,3.78,3342
22707,1.06,Very Good,D,VS2,59.6,60.0,6.68,6.71,3.99,7149
22768,0.31,Premium,H,VVS1,60.6,59.0,4.36,4.38,2.65,707
21862,0.66,Ideal,F,VS2,62.4,54.0,5.55,5.61,3.48,2648
20449,1.5,Ideal,F,SI1,62.0,60.0,7.32,7.29,4.53,12466
23223,0.73,Ideal,F,VVS2,61.7,54.0,5.82,5.76,3.57,3463
14635,0.7,Ideal,I,SI1,60.4,57.0,5.75,5.79,3.49,2623
8491,0.45,Premium,I,VS1,62.3,58.0,4.86,4.84,3.02,1035
222,1.7,Ideal,J,SI2,60.5,57.0,7.74,7.84,4.71,8505
26340,0.24,Very Good,D,VVS2,61.3,58.0,3.99,4.03,2.46,485
17103,1.28,Good,I,VS2,58.2,64.0,7.09,7.03,4.11,5319
13013,0.72,Premium,F,VVS2,61.1,58.0,5.78,5.84,3.55,3250
26312,0.34,Good,D,VVS1,57.4,62.0,4.67,4.71,2.69,957
21742,1.52,Premium,J,VS1,62.2,59.0,7.32,7.38,4.57,8426
17469,1.23,Good,D,I1,63.7,58.0,6.79,6.72,4.3,4050
25369,2.4,Ideal,J,SI1,62.0,57.0,8.53,8.47,5.27,12468
18169,0.43,Ideal,H,SI1,61.6,55.0,4.9,4.87,3.01,919
12605,0.91,Ideal,F,VS2,62.8,57.0,6.18,6.2,3.89,5214
13004,1.01,Good,D,SI2,63.6,56.0,6.38,6.33,4.04,4805
15006,0.9,Premium,H,SI2,62.1,59.0,6.13,6.04,3.78,3326
11977,0.27,Ideal,G,VS1,62.3,53.0,4.16,4.19,2.6,527
3022,1.63,Ideal,H,SI1,61.8,57.0,7.5,7.54,4.64,12910
15963,0.5,Ideal,F,VVS1,60.4,56.0,5.16,5.21,3.13,2165
5765,0.32,Ideal,H,VS1,62.7,56.0,4.39,4.42,2.76,524
7007,1.34,Ideal,G,VS1,62.7,57.0,7.1,7.04,4.43,10070
18777,0.97,Ideal,J,VS1,61.3,57.0,6.37,6.41,3.92,4278
26454,0.32,Premium,H,VS2,62.5,59.0,4.38,4.33,2.72,648
14233,1.5,Premium,F,VS1,62.3,58.0,7.33,7.28,4.55,15291
3408,0.33,Ideal,E,VVS1,61.9,54.0,4.45,4.47,2.76,945
12969,0.9,Premium,I,SI1,60.9,56.0,6.26,6.21,3.8,2947
4920,1.07,Premium,G,VS2,59.8,58.0,6.67,6.63,3.98,5177
25012,1.01,Very Good,G,VS2,62.9,60.0,6.28,6.35,3.97,5779
12744,1.51,Good,F,SI1,59.5,58.0,7.35,7.44,4.4,14148
4512,1.39,Premium,I,SI1,62.1,57.0,7.22,7.08,4.44,6694
15862,0.57,Premium,G,VVS2,60.2,60.0,5.44,5.36,3.25,2059
2668,0.41,Ideal,F,VS2,60.8,56.0,4.8,4.81,2.92,863
9503,0.61,Ideal,G,VS1,62.6,55.0,5.46,5.43,3.41,2309
9699,0.24,Very Good,D,VS1,62.9,56.0,3.96,3.99,2.5,419
22416,1.0,Premium,J,VS2,60.7,58.0,6.49,6.52,3.95,3877
22742,0.56,Ideal,D,VS1,60.4,56.0,5.33,5.36,3.23,1924
17187,0.91,Very Good,E,VS2,61.1,58.0,6.2,6.28,3.81,5145
16393,0.45,Fair,F,VS2,64.2,58.0,4.9,4.75,3.1,1037
14640,1.75,Ideal,H,I1,,54.9,7.75,7.78,4.78,7276
26589,1.3,Very Good,F,SI1,61.5,58.0,6.99,7.06,4.32,7567
13536,0.8,Ideal,F,SI1,61.5,54.0,6.07,6.0,3.71,2890
22472,0.45,Ideal,G,IF,62.0,53.0,4.94,4.99,3.08,1377
1052,0.75,Ideal,J,VS2,62.3,57.0,5.84,5.81,3.63,2025
3104,0.41,Ideal,J,VS1,62.2,54.5,4.75,4.76,2.96,674
2907,0.5,Fair,E,VS2,65.4,57.0,5.01,4.81,3.21,1397
7457,0.38,Ideal,F,VVS1,62.4,54.0,4.66,4.7,2.92,1096
13571,1.25,Ideal,E,IF,61.8,55.0,6.95,6.9,4.28,16823
23911,0.4,Ideal,F,VVS1,61.4,56.0,4.77,4.81,2.94,1168
17061,0.34,Ideal,F,SI2,60.1,56.0,4.55,4.54,2.73,574
12147,0.39,Ideal,F,SI1,61.8,55.0,4.7,4.72,2.91,886
21810,0.52,Premium,F,SI1,59.5,59.0,5.31,5.24,3.14,1338
17430,0.25,Very Good,F,VVS2,62.0,59.0,3.99,4.04,2.49,576
26520,0.44,Ideal,E,SI2,62.0,54.0,4.9,4.94,3.05,691
